date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,
1/27/2020,0,Arizona,1,0,0,0,7278717,58.3,73,0,0,1,1,0,0,0,
2/3/2020,7,Arizona,1,0,0,0,7278717,58.3,73,0,0,1,1,0,0,0,
2/10/2020,14,Arizona,1,0,0,0,7278717,58.3,73,0,0,1,1,0,0,0,
2/17/2020,21,Arizona,1,0,0,0,7278717,58.3,73,0,0,1,1,0,0,0,
2/24/2020,28,Arizona,1,0,0,0,7278717,58.3,73,0,0,1,1,0,0,0,
3/2/2020,35,Arizona,1,0,0,0,7278717,58.3,73,0,0,1,1,0,0,0,
3/9/2020,42,Arizona,6,0,0.1,0,7278717,58.3,73,5,0,1,1,0,0,0,
3/16/2020,49,Arizona,18,0,0.3,0,7278717,58.3,73,12,0,1,1,1,1,0,1.4
3/23/2020,56,Arizona,234,2,3.2,0,7278717,58.3,73,216,2,5,5,1,1,1,17
3/30/2020,63,Arizona,1169,20,16.1,0.3,7278717,58.3,73,935,18,5,5,5,5,1,3.328703704
4/6/2020,70,Arizona,2465,67,33.9,0.9,7278717,58.3,73,1296,47,5,5,5,5,0,0.386096257
4/13/2020,77,Arizona,3702,122,50.9,1.7,7278717,58.3,73,1237,55,5,5,5,5,0,-0.045524691
4/20/2020,84,Arizona,5064,191,69.6,2.6,7278717,58.3,73,1362,69,5,5,5,5,0,0.10105093
4/27/2020,91,Arizona,6716,277,92.3,3.8,7278717,58.3,73,1652,86,5,5,5,5,0,0.212922173
5/4/2020,98,Arizona,8919,362,122.5,5,7278717,58.3,73,2203,85,5,5,5,5,0,0.333535109
