date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,% increase
3/2/2020,0,Florida,2,0,0,0,21477737,364.6,215,0,0,1,1,0,0,0,
3/9/2020,7,Florida,14,2,0.1,0,21477737,364.6,215,12,2,1,1,0,0,0,
3/16/2020,14,Florida,141,4,0.7,0,21477737,364.6,215,127,2,1,1,1,1,1,9.583333333
3/23/2020,21,Florida,1222,18,5.7,0.1,21477737,364.6,215,1081,14,1,1,1,1,1,7.511811024
3/30/2020,28,Florida,5694,71,26.5,0.3,21477737,364.6,215,4472,53,1,1,1,1,1,3.136910268
4/6/2020,35,Florida,13621,253,63.4,1.2,21477737,364.6,215,7927,182,1,1,1,1,0,0.772584973
4/13/2020,42,Florida,21011,498,97.8,2.3,21477737,364.6,215,7390,245,1,1,1,1,0,-0.067743156
4/20/2020,49,Florida,27050,822,125.9,3.8,21477737,364.6,215,6039,324,1,1,1,1,0,-0.182814614
4/27/2020,56,Florida,32130,1087,149.6,5.1,21477737,364.6,215,5080,265,1,1,1,1,0,-0.158801126
5/4/2020,63,Florida,36889,1398,171.8,6.5,21477737,364.6,215,4759,311,1,1,1,1,0,-0.063188976
