date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,avg_temp_low,avg_temp_high,y1,y2
3/2/20,Georgia,2,0,0,0,10617423,112,0,0,0,0,0,0,47,55,,
3/9/20,Georgia,17,0,0.2,0,10617423,112,15,0,0,0,0,0,42,68,,
3/16/20,Georgia,118,1,1.1,0,10617423,112,101,1,0,2,1,0,52,58,,
3/23/20,Georgia,800,25,7.5,0.2,10617423,112,682,24,0,2,2,0,51,60,,
3/30/20,Georgia,3032,102,28.6,1,10617423,112,2232,77,0,2,2,0,60,74,,
4/6/20,Georgia,7558,294,71.2,2.8,10617423,112,4526,192,0,2,2,0,58,82,,
4/13/20,Georgia,13125,479,123.6,4.5,10617423,112,5567,185,0,2,2,0,57,73,,
4/20/20,Georgia,18447,767,173.7,7.2,10617423,112,5322,288,0,2,2,0,52,71,,
4/27/20,Georgia,23229,981,218.8,9.2,10617423,112,4782,214,0,2,2,0,44,73,,
5/4/20,Georgia,28350,1228,267,11.6,10617423,112,5121,247,0,2,2,0,62,84,,
