date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,avg_temp_low,avg_temp_high,y1,y2
1/27/20,Illinois,1,0,0,0,12671821,142,0,0,0,0,0,0,28,34,,
2/3/20,Illinois,2,0,0,0,12671821,142,1,0,0,0,0,0,35,43,,
2/10/20,Illinois,2,0,0,0,12671821,142,0,0,0,0,0,0,27,34,,
2/17/20,Illinois,2,0,0,0,12671821,142,0,0,0,0,0,0,31,37,,
2/24/20,Illinois,2,0,0,0,12671821,142,0,0,0,0,0,0,36,43,,
3/2/20,Illinois,4,0,0,0,12671821,142,2,0,0,0,0,0,36,50,,
3/9/20,Illinois,11,0,0.1,0,12671821,142,7,0,0,0,0,0,47,57,,
3/16/20,Illinois,104,0,0.8,0,12671821,142,93,0,0,0,0,0,34,39,,
3/23/20,Illinois,1285,12,10.1,0.1,12671821,142,1181,12,0,0,0,0,32,41,,
3/30/20,Illinois,5070,84,40,0.7,12671821,142,3785,72,0,0,0,0,38,48,,
4/6/20,Illinois,12262,309,96.8,2.4,12671821,142,7192,225,0,0,0,0,38,58,,
4/13/20,Illinois,22025,800,173.8,6.3,12671821,142,9763,491,0,0,0,0,34,54,,
4/20/20,Illinois,31508,1359,248.7,10.7,12671821,142,9483,559,0,0,0,0,39,63,,
4/27/20,Illinois,45883,1992,362.1,15.7,12671821,142,14375,633,0,0,0,0,42,66,,
5/4/20,Illinois,63840,2673,503.8,21.1,12671821,142,17957,681,0,0,0,0,39,46,,
