date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,% increase
2/3/2020,0,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,0,
2/10/2020,7,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,0,
2/17/2020,14,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,0,
2/24/2020,21,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,0,
3/2/2020,28,Massachusetts,2,0,0,0,6892503,858,73,1,0,1,1,1,1,0,
3/9/2020,35,Massachusetts,41,0,0.6,0,6892503,858,73,39,0,1,1,2,2,1,38
3/16/2020,42,Massachusetts,197,0,2.9,0,6892503,858,73,156,0,4,3,2,2,1,3
3/23/2020,49,Massachusetts,777,9,11.3,0.1,6892503,858,73,580,9,6,5,3,4,1,2.717948718
3/30/2020,56,Massachusetts,5752,56,83.5,0.8,6892503,858,73,4975,47,13,14,3,4,1,7.577586207
4/6/2020,63,Massachusetts,13837,260,200.8,3.8,6892503,858,73,8085,204,20,23,3,5,0,0.625125628
4/13/2020,70,Massachusetts,26867,844,389.8,12.3,6892503,858,73,13030,584,21,25,4,6,0,0.611626469
4/20/2020,77,Massachusetts,39643,1809,575.2,26.3,6892503,858,73,12776,965,22,26,5,7,0,-0.019493477
4/27/2020,84,Massachusetts,56462,3003,819.2,43.6,6892503,858,73,16819,1194,25,29,5,8,0,0.316452724
5/4/2020,91,Massachusetts,69087,4090,1002.4,59.3,6892503,858,73,12625,1087,26,29,5,8,0,-0.249360842
