date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,percent increase
2/17/2020,0,Nebraska,10,0,0.5,0,1934408,24.3,26,0,0,1,1,0,0,0,
2/24/2020,7,Nebraska,12,0,0.6,0,1934408,24.3,26,2,0,1,1,0,0,0,
3/2/2020,14,Nebraska,13,0,0.7,0,1934408,24.3,26,1,0,1,1,0,0,0,-0.5
3/9/2020,21,Nebraska,16,0,0.8,0,1934408,24.3,26,3,0,1,1,0,0,1,2
3/16/2020,28,Nebraska,33,0,1.7,0,1934408,24.3,26,17,0,1,1,0,0,1,4.666666667
3/23/2020,35,Nebraska,73,0,3.8,0,1934408,24.3,26,40,0,1,1,0,0,0,1.352941176
3/30/2020,42,Nebraska,185,3,9.6,0.2,1934408,24.3,26,112,3,1,1,1,1,1,1.8
4/6/2020,49,Nebraska,437,10,22.6,0.5,1934408,24.3,26,252,7,1,1,1,1,0,1.25
4/13/2020,56,Nebraska,870,19,45,1,1934408,24.3,26,433,9,1,1,1,1,0,0.718253968
4/20/2020,63,Nebraska,1646,33,85.1,1.7,1934408,24.3,26,776,14,1,1,1,1,0,0.792147806
4/27/2020,70,Nebraska,3487,55,180.3,2.8,1934408,24.3,26,1841,22,1,1,1,1,0,1.37242268
5/4/2020,77,Nebraska,6123,79,316.5,4.1,1934408,24.3,26,2636,24,1,1,1,1,0,0.431830527
