date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,percent increase
3/2/2020,0,New Hampshire,1,0,0.1,0,1359711,147.8,14,0,0,0,0,0,0,0,
3/9/2020,7,New Hampshire,4,0,0.3,0,1359711,147.8,14,3,0,0,0,0,0,0,
3/16/2020,14,New Hampshire,17,0,1.3,0,1359711,147.8,14,13,0,0,0,0,0,1,3.333333333
3/23/2020,21,New Hampshire,101,1,7.4,0.1,1359711,147.8,14,84,1,0,0,0,0,1,5.461538462
3/30/2020,28,New Hampshire,314,3,23.1,0.2,1359711,147.8,14,213,2,0,0,0,0,0,1.535714286
4/6/2020,35,New Hampshire,715,9,52.6,0.7,1359711,147.8,14,401,6,0,0,0,0,0,0.882629108
4/13/2020,42,New Hampshire,1020,23,75,1.7,1359711,147.8,14,305,14,0,0,0,0,0,-0.239401496
4/20/2020,49,New Hampshire,1447,42,106.4,3.1,1359711,147.8,14,427,19,0,0,0,0,0,0.4
4/27/2020,56,New Hampshire,1938,60,142.5,4.4,1359711,147.8,14,491,18,0,0,0,0,0,0.149882904
5/4/2020,63,New Hampshire,2588,86,190.3,6.3,1359711,147.8,14,650,26,0,0,0,0,0,0.323828921
