date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,percent
3/2/2020,0,Rhode Island,2,0,0.2,0,1059361,"1,017.10",11,0,0,0,0,0,0,0,0
3/9/2020,7,Rhode Island,3,0,0.3,0,1059361,"1,017.10",11,1,0,0,0,0,0,0,0
3/16/2020,14,Rhode Island,21,0,2,0,1059361,"1,017.10",11,18,0,1,0,1,0,1,17
3/23/2020,21,Rhode Island,106,0,10,0,1059361,"1,017.10",11,85,0,1,0,1,0,1,3.722222222
3/30/2020,28,Rhode Island,408,4,38.5,0.4,1059361,"1,017.10",11,302,4,1,0,1,0,1,2.552941176
4/6/2020,35,Rhode Island,1082,27,102.1,2.6,1059361,"1,017.10",11,674,23,1,0,1,0,0,1.231788079
4/13/2020,42,Rhode Island,2976,73,280.9,6.9,1059361,"1,017.10",11,1894,46,1,0,1,0,1,1.810089021
4/20/2020,49,Rhode Island,5090,155,480.5,14.6,1059361,"1,017.10",11,2114,82,1,0,1,0,0,0.116156283
4/27/2020,56,Rhode Island,7708,233,727.6,22,1059361,"1,017.10",11,2618,78,1,0,1,0,0,0.238410596
5/4/2020,63,Rhode Island,9652,341,911.1,32.2,1059361,"1,017.10",11,1944,108,1,0,1,0,0,-0.257448434
