date,days,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,percent
2/17/2020,0,Texas,2,0,0,0,28995881,101.2,365,0,0,0,0,0,0,0,0
2/24/2020,7,Texas,10,0,0,0,28995881,101.2,365,8,0,0,0,0,0,0,0
3/2/2020,14,Texas,11,0,0,0,28995881,101.2,365,1,0,0,0,0,0,0,-0.875
3/9/2020,21,Texas,24,0,0.1,0,28995881,101.2,365,13,0,0,0,0,0,1,12
3/16/2020,28,Texas,87,1,0.3,0,28995881,101.2,365,63,1,0,0,0,0,1,3.846153846
3/23/2020,35,Texas,728,7,2.5,0,28995881,101.2,365,641,6,0,0,0,0,1,9.174603175
3/30/2020,42,Texas,3036,46,10.5,0.2,28995881,101.2,365,2308,39,0,0,0,0,1,2.600624025
4/6/2020,49,Texas,8104,159,28,0.6,28995881,101.2,365,5068,113,0,0,0,0,0,1.195840555
4/13/2020,56,Texas,14487,320,50,1.1,28995881,101.2,365,6383,161,0,0,0,0,0,0.259471192
4/20/2020,63,Texas,20035,523,69.1,1.8,28995881,101.2,365,5548,203,0,0,0,0,0,-0.130816231
4/27/2020,70,Texas,25963,699,89.5,2.4,28995881,101.2,365,5928,176,0,0,0,0,0,0.068493151
5/4/2020,77,Texas,33134,914,114.3,3.2,28995881,101.2,365,7171,215,0,0,0,0,0,0.209682861
