date,state,cases,deaths,cases_per_capita,deaths_per_capita,state_population
1/21/20,Washington,1,0,0.01,0,"7,614,893"
1/22/20,Washington,1,0,0.01,0,"7,614,893"
1/23/20,Washington,1,0,0.01,0,"7,614,893"
1/24/20,Illinois,1,0,0.01,0,"12,671,821"
1/24/20,Washington,1,0,0.01,0,"7,614,893"
1/25/20,California,1,0,0.00,0,"39,512,223"
1/25/20,Illinois,1,0,0.01,0,"12,671,821"
1/25/20,Washington,1,0,0.01,0,"7,614,893"
1/26/20,Arizona,1,0,0.01,0,"7,278,717"
1/26/20,California,2,0,0.01,0,"39,512,223"
1/26/20,Illinois,1,0,0.01,0,"12,671,821"
1/26/20,Washington,1,0,0.01,0,"7,614,893"
1/27/20,Arizona,1,0,0.01,0,"7,278,717"
1/27/20,California,2,0,0.01,0,"39,512,223"
1/27/20,Illinois,1,0,0.01,0,"12,671,821"
1/27/20,Washington,1,0,0.01,0,"7,614,893"
1/28/20,Arizona,1,0,0.01,0,"7,278,717"
1/28/20,California,2,0,0.01,0,"39,512,223"
1/28/20,Illinois,1,0,0.01,0,"12,671,821"
1/28/20,Washington,1,0,0.01,0,"7,614,893"
1/29/20,Arizona,1,0,0.01,0,"7,278,717"
1/29/20,California,2,0,0.01,0,"39,512,223"
1/29/20,Illinois,1,0,0.01,0,"12,671,821"
1/29/20,Washington,1,0,0.01,0,"7,614,893"
1/30/20,Arizona,1,0,0.01,0,"7,278,717"
1/30/20,California,2,0,0.01,0,"39,512,223"
1/30/20,Illinois,2,0,0.02,0,"12,671,821"
1/30/20,Washington,1,0,0.01,0,"7,614,893"
1/31/20,Arizona,1,0,0.01,0,"7,278,717"
1/31/20,California,3,0,0.01,0,"39,512,223"
1/31/20,Illinois,2,0,0.02,0,"12,671,821"
1/31/20,Washington,1,0,0.01,0,"7,614,893"
2/1/20,Arizona,1,0,0.01,0,"7,278,717"
2/1/20,California,3,0,0.01,0,"39,512,223"
2/1/20,Illinois,2,0,0.02,0,"12,671,821"
2/1/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/1/20,Washington,1,0,0.01,0,"7,614,893"
2/2/20,Arizona,1,0,0.01,0,"7,278,717"
2/2/20,California,6,0,0.02,0,"39,512,223"
2/2/20,Illinois,2,0,0.02,0,"12,671,821"
2/2/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/2/20,Washington,1,0,0.01,0,"7,614,893"
2/3/20,Arizona,1,0,0.01,0,"7,278,717"
2/3/20,California,6,0,0.02,0,"39,512,223"
2/3/20,Illinois,2,0,0.02,0,"12,671,821"
2/3/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/3/20,Washington,1,0,0.01,0,"7,614,893"
2/4/20,Arizona,1,0,0.01,0,"7,278,717"
2/4/20,California,6,0,0.02,0,"39,512,223"
2/4/20,Illinois,2,0,0.02,0,"12,671,821"
2/4/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/4/20,Washington,1,0,0.01,0,"7,614,893"
2/5/20,Arizona,1,0,0.01,0,"7,278,717"
2/5/20,California,6,0,0.02,0,"39,512,223"
2/5/20,Illinois,2,0,0.02,0,"12,671,821"
2/5/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/5/20,Washington,1,0,0.01,0,"7,614,893"
2/5/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/6/20,Arizona,1,0,0.01,0,"7,278,717"
2/6/20,California,6,0,0.02,0,"39,512,223"
2/6/20,Illinois,2,0,0.02,0,"12,671,821"
2/6/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/6/20,Washington,1,0,0.01,0,"7,614,893"
2/6/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/7/20,Arizona,1,0,0.01,0,"7,278,717"
2/7/20,California,6,0,0.02,0,"39,512,223"
2/7/20,Illinois,2,0,0.02,0,"12,671,821"
2/7/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/7/20,Washington,1,0,0.01,0,"7,614,893"
2/7/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/8/20,Arizona,1,0,0.01,0,"7,278,717"
2/8/20,California,6,0,0.02,0,"39,512,223"
2/8/20,Illinois,2,0,0.02,0,"12,671,821"
2/8/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/8/20,Washington,1,0,0.01,0,"7,614,893"
2/8/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/9/20,Arizona,1,0,0.01,0,"7,278,717"
2/9/20,California,6,0,0.02,0,"39,512,223"
2/9/20,Illinois,2,0,0.02,0,"12,671,821"
2/9/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/9/20,Washington,1,0,0.01,0,"7,614,893"
2/9/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/10/20,Arizona,1,0,0.01,0,"7,278,717"
2/10/20,California,7,0,0.02,0,"39,512,223"
2/10/20,Illinois,2,0,0.02,0,"12,671,821"
2/10/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/10/20,Washington,1,0,0.01,0,"7,614,893"
2/10/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/11/20,Arizona,1,0,0.01,0,"7,278,717"
2/11/20,California,7,0,0.02,0,"39,512,223"
2/11/20,Illinois,2,0,0.02,0,"12,671,821"
2/11/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/11/20,Washington,1,0,0.01,0,"7,614,893"
2/11/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/12/20,Arizona,1,0,0.01,0,"7,278,717"
2/12/20,California,7,0,0.02,0,"39,512,223"
2/12/20,Illinois,2,0,0.02,0,"12,671,821"
2/12/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/12/20,Texas,1,0,0.00,0,"28,995,881"
2/12/20,Washington,1,0,0.01,0,"7,614,893"
2/12/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/13/20,Arizona,1,0,0.01,0,"7,278,717"
2/13/20,California,7,0,0.02,0,"39,512,223"
2/13/20,Illinois,2,0,0.02,0,"12,671,821"
2/13/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/13/20,Texas,2,0,0.01,0,"28,995,881"
2/13/20,Washington,1,0,0.01,0,"7,614,893"
2/13/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/14/20,Arizona,1,0,0.01,0,"7,278,717"
2/14/20,California,7,0,0.02,0,"39,512,223"
2/14/20,Illinois,2,0,0.02,0,"12,671,821"
2/14/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/14/20,Texas,2,0,0.01,0,"28,995,881"
2/14/20,Washington,1,0,0.01,0,"7,614,893"
2/14/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/15/20,Arizona,1,0,0.01,0,"7,278,717"
2/15/20,California,7,0,0.02,0,"39,512,223"
2/15/20,Illinois,2,0,0.02,0,"12,671,821"
2/15/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/15/20,Texas,2,0,0.01,0,"28,995,881"
2/15/20,Washington,1,0,0.01,0,"7,614,893"
2/15/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/16/20,Arizona,1,0,0.01,0,"7,278,717"
2/16/20,California,7,0,0.02,0,"39,512,223"
2/16/20,Illinois,2,0,0.02,0,"12,671,821"
2/16/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/16/20,Texas,2,0,0.01,0,"28,995,881"
2/16/20,Washington,1,0,0.01,0,"7,614,893"
2/16/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/17/20,Arizona,1,0,0.01,0,"7,278,717"
2/17/20,California,7,0,0.02,0,"39,512,223"
2/17/20,Illinois,2,0,0.02,0,"12,671,821"
2/17/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/17/20,Nebraska,10,0,0.52,0,"1,934,408"
2/17/20,Texas,2,0,0.01,0,"28,995,881"
2/17/20,Washington,1,0,0.01,0,"7,614,893"
2/17/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/18/20,Arizona,1,0,0.01,0,"7,278,717"
2/18/20,California,7,0,0.02,0,"39,512,223"
2/18/20,Illinois,2,0,0.02,0,"12,671,821"
2/18/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/18/20,Nebraska,10,0,0.52,0,"1,934,408"
2/18/20,Texas,2,0,0.01,0,"28,995,881"
2/18/20,Washington,1,0,0.01,0,"7,614,893"
2/18/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/19/20,Arizona,1,0,0.01,0,"7,278,717"
2/19/20,California,7,0,0.02,0,"39,512,223"
2/19/20,Illinois,2,0,0.02,0,"12,671,821"
2/19/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/19/20,Nebraska,10,0,0.52,0,"1,934,408"
2/19/20,Texas,2,0,0.01,0,"28,995,881"
2/19/20,Washington,1,0,0.01,0,"7,614,893"
2/19/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/20/20,Arizona,1,0,0.01,0,"7,278,717"
2/20/20,California,8,0,0.02,0,"39,512,223"
2/20/20,Illinois,2,0,0.02,0,"12,671,821"
2/20/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/20/20,Nebraska,11,0,0.57,0,"1,934,408"
2/20/20,Texas,2,0,0.01,0,"28,995,881"
2/20/20,Washington,1,0,0.01,0,"7,614,893"
2/20/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/21/20,Arizona,1,0,0.01,0,"7,278,717"
2/21/20,California,9,0,0.02,0,"39,512,223"
2/21/20,Illinois,2,0,0.02,0,"12,671,821"
2/21/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/21/20,Nebraska,11,0,0.57,0,"1,934,408"
2/21/20,Texas,4,0,0.01,0,"28,995,881"
2/21/20,Washington,1,0,0.01,0,"7,614,893"
2/21/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/22/20,Arizona,1,0,0.01,0,"7,278,717"
2/22/20,California,9,0,0.02,0,"39,512,223"
2/22/20,Illinois,2,0,0.02,0,"12,671,821"
2/22/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/22/20,Nebraska,11,0,0.57,0,"1,934,408"
2/22/20,Texas,4,0,0.01,0,"28,995,881"
2/22/20,Washington,1,0,0.01,0,"7,614,893"
2/22/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/23/20,Arizona,1,0,0.01,0,"7,278,717"
2/23/20,California,9,0,0.02,0,"39,512,223"
2/23/20,Illinois,2,0,0.02,0,"12,671,821"
2/23/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/23/20,Nebraska,11,0,0.57,0,"1,934,408"
2/23/20,Texas,4,0,0.01,0,"28,995,881"
2/23/20,Washington,1,0,0.01,0,"7,614,893"
2/23/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/24/20,Arizona,1,0,0.01,0,"7,278,717"
2/24/20,California,11,0,0.03,0,"39,512,223"
2/24/20,Illinois,2,0,0.02,0,"12,671,821"
2/24/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/24/20,Nebraska,12,0,0.62,0,"1,934,408"
2/24/20,Texas,10,0,0.03,0,"28,995,881"
2/24/20,Washington,5,0,0.07,0,"7,614,893"
2/24/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/25/20,Arizona,1,0,0.01,0,"7,278,717"
2/25/20,California,11,0,0.03,0,"39,512,223"
2/25/20,Illinois,2,0,0.02,0,"12,671,821"
2/25/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/25/20,Nebraska,13,0,0.67,0,"1,934,408"
2/25/20,Texas,10,0,0.03,0,"28,995,881"
2/25/20,Utah,1,0,0.03,0,"3,205,958"
2/25/20,Washington,5,0,0.07,0,"7,614,893"
2/25/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/26/20,Arizona,1,0,0.01,0,"7,278,717"
2/26/20,California,26,0,0.07,0,"39,512,223"
2/26/20,Illinois,2,0,0.02,0,"12,671,821"
2/26/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/26/20,Nebraska,13,0,0.67,0,"1,934,408"
2/26/20,Texas,10,0,0.03,0,"28,995,881"
2/26/20,Utah,1,0,0.03,0,"3,205,958"
2/26/20,Washington,5,0,0.07,0,"7,614,893"
2/26/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/27/20,Arizona,1,0,0.01,0,"7,278,717"
2/27/20,California,26,0,0.07,0,"39,512,223"
2/27/20,Illinois,2,0,0.02,0,"12,671,821"
2/27/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/27/20,Nebraska,13,0,0.67,0,"1,934,408"
2/27/20,Texas,10,0,0.03,0,"28,995,881"
2/27/20,Utah,1,0,0.03,0,"3,205,958"
2/27/20,Washington,5,0,0.07,0,"7,614,893"
2/27/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/28/20,Arizona,1,0,0.01,0,"7,278,717"
2/28/20,California,27,0,0.07,0,"39,512,223"
2/28/20,Illinois,2,0,0.02,0,"12,671,821"
2/28/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/28/20,Nebraska,13,0,0.67,0,"1,934,408"
2/28/20,Oregon,1,0,0.02,0,"4,217,737"
2/28/20,Texas,11,0,0.04,0,"28,995,881"
2/28/20,Utah,1,0,0.03,0,"3,205,958"
2/28/20,Washington,7,0,0.09,0,"7,614,893"
2/28/20,Wisconsin,1,0,0.02,0,"5,822,434"
2/29/20,Arizona,1,0,0.01,0,"7,278,717"
2/29/20,California,28,0,0.07,0,"39,512,223"
2/29/20,Illinois,3,0,0.02,0,"12,671,821"
2/29/20,Massachusetts,1,0,0.01,0,"6,892,503"
2/29/20,Nebraska,13,0,0.67,0,"1,934,408"
2/29/20,Oregon,1,0,0.02,0,"4,217,737"
2/29/20,Texas,11,0,0.04,0,"28,995,881"
2/29/20,Utah,1,0,0.03,0,"3,205,958"
2/29/20,Washington,10,1,0.13,0,"7,614,893"
2/29/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/1/20,Arizona,1,0,0.01,0,"7,278,717"
3/1/20,California,33,0,0.08,0,"39,512,223"
3/1/20,Florida,2,0,0.01,0,"21,477,737"
3/1/20,Illinois,3,0,0.02,0,"12,671,821"
3/1/20,Massachusetts,1,0,0.01,0,"6,892,503"
3/1/20,Nebraska,13,0,0.67,0,"1,934,408"
3/1/20,New York,1,0,0.01,0,"19,453,561"
3/1/20,Oregon,2,0,0.05,0,"4,217,737"
3/1/20,Rhode Island,2,0,0.19,0,"1,059,361"
3/1/20,Texas,11,0,0.04,0,"28,995,881"
3/1/20,Utah,1,0,0.03,0,"3,205,958"
3/1/20,Washington,17,3,0.22,0,"7,614,893"
3/1/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/2/20,Arizona,1,0,0.01,0,"7,278,717"
3/2/20,California,38,0,0.10,0,"39,512,223"
3/2/20,Florida,2,0,0.01,0,"21,477,737"
3/2/20,Georgia,2,0,0.02,0,"10,617,423"
3/2/20,Illinois,4,0,0.03,0,"12,671,821"
3/2/20,Massachusetts,2,0,0.03,0,"6,892,503"
3/2/20,Nebraska,13,0,0.67,0,"1,934,408"
3/2/20,New Hampshire,1,0,0.07,0,"1,359,711"
3/2/20,New York,1,0,0.01,0,"19,453,561"
3/2/20,Oregon,2,0,0.05,0,"4,217,737"
3/2/20,Rhode Island,2,0,0.19,0,"1,059,361"
3/2/20,Texas,11,0,0.04,0,"28,995,881"
3/2/20,Utah,1,0,0.03,0,"3,205,958"
3/2/20,Washington,23,6,0.30,0,"7,614,893"
3/2/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/3/20,Arizona,2,0,0.03,0,"7,278,717"
3/3/20,California,45,0,0.11,0,"39,512,223"
3/3/20,Florida,3,0,0.01,0,"21,477,737"
3/3/20,Georgia,2,0,0.02,0,"10,617,423"
3/3/20,Illinois,4,0,0.03,0,"12,671,821"
3/3/20,Massachusetts,2,0,0.03,0,"6,892,503"
3/3/20,Nebraska,13,0,0.67,0,"1,934,408"
3/3/20,New Hampshire,2,0,0.15,0,"1,359,711"
3/3/20,New York,2,0,0.01,0,"19,453,561"
3/3/20,North Carolina,1,0,0.01,0,"10,488,084"
3/3/20,Oregon,2,0,0.05,0,"4,217,737"
3/3/20,Rhode Island,2,0,0.19,0,"1,059,361"
3/3/20,Texas,11,0,0.04,0,"28,995,881"
3/3/20,Utah,1,0,0.03,0,"3,205,958"
3/3/20,Washington,32,10,0.42,0.13,"7,614,893"
3/3/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/4/20,Arizona,2,0,0.03,0,"7,278,717"
3/4/20,California,55,1,0.14,0.00,"39,512,223"
3/4/20,Florida,3,0,0.01,0,"21,477,737"
3/4/20,Georgia,2,0,0.02,0,"10,617,423"
3/4/20,Illinois,4,0,0.03,0,"12,671,821"
3/4/20,Massachusetts,2,0,0.03,0,"6,892,503"
3/4/20,Nebraska,13,0,0.67,0,"1,934,408"
3/4/20,New Hampshire,2,0,0.15,0,"1,359,711"
3/4/20,New Jersey,1,0,0.01,0,"8,882,190"
3/4/20,New York,11,0,0.06,0,"19,453,561"
3/4/20,North Carolina,1,0,0.01,0,"10,488,084"
3/4/20,Oregon,2,0,0.05,0,"4,217,737"
3/4/20,Rhode Island,2,0,0.19,0,"1,059,361"
3/4/20,Texas,12,0,0.04,0,"28,995,881"
3/4/20,Utah,1,0,0.03,0,"3,205,958"
3/4/20,Washington,47,11,0.62,0.14,"7,614,893"
3/4/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/5/20,Arizona,2,0,0.03,0,"7,278,717"
3/5/20,California,67,1,0.17,0.00,"39,512,223"
3/5/20,Colorado,2,0,0.03,0,"5,758,736"
3/5/20,Florida,4,0,0.02,0,"21,477,737"
3/5/20,Georgia,2,0,0.02,0,"10,617,423"
3/5/20,Illinois,5,0,0.04,0,"12,671,821"
3/5/20,Maryland,3,0,0.05,0,"6,045,680"
3/5/20,Massachusetts,3,0,0.04,0,"6,892,503"
3/5/20,Nebraska,13,0,0.67,0,"1,934,408"
3/5/20,Nevada,2,0,0.06,0,"3,080,156"
3/5/20,New Hampshire,2,0,0.15,0,"1,359,711"
3/5/20,New Jersey,2,0,0.02,0,"8,882,190"
3/5/20,New York,22,0,0.11,0,"19,453,561"
3/5/20,North Carolina,1,0,0.01,0,"10,488,084"
3/5/20,Oregon,2,0,0.05,0,"4,217,737"
3/5/20,Rhode Island,2,0,0.19,0,"1,059,361"
3/5/20,Tennessee,1,0,0.01,0,"6,829,174"
3/5/20,Texas,16,0,0.06,0,"28,995,881"
3/5/20,Utah,1,0,0.03,0,"3,205,958"
3/5/20,Washington,75,11,0.98,0.14,"7,614,893"
3/5/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/6/20,Arizona,3,0,0.04,0,"7,278,717"
3/6/20,California,81,1,0.20,0.00,"39,512,223"
3/6/20,Colorado,8,0,0.14,0,"5,758,736"
3/6/20,Florida,7,2,0.03,0.01,"21,477,737"
3/6/20,Georgia,3,0,0.03,0,"10,617,423"
3/6/20,Hawaii,1,0,0.07,0,"1,415,872"
3/6/20,Illinois,6,0,0.05,0,"12,671,821"
3/6/20,Indiana,1,0,0.01,0,"6,732,219"
3/6/20,Kentucky,1,0,0.02,0,"4,467,673"
3/6/20,Maryland,3,0,0.05,0,"6,045,680"
3/6/20,Massachusetts,8,0,0.12,0,"6,892,503"
3/6/20,Minnesota,1,0,0.02,0,"5,639,632"
3/6/20,Nebraska,14,0,0.72,0,"1,934,408"
3/6/20,Nevada,2,0,0.06,0,"3,080,156"
3/6/20,New Hampshire,2,0,0.15,0,"1,359,711"
3/6/20,New Jersey,4,0,0.05,0,"8,882,190"
3/6/20,New York,44,0,0.23,0,"19,453,561"
3/6/20,North Carolina,2,0,0.02,0,"10,488,084"
3/6/20,Oklahoma,1,0,0.03,0,"3,956,971"
3/6/20,Oregon,2,0,0.05,0,"4,217,737"
3/6/20,Pennsylvania,2,0,0.02,0,"12,801,989"
3/6/20,Rhode Island,3,0,0.28,0,"1,059,361"
3/6/20,South Carolina,2,0,0.04,0,"5,148,714"
3/6/20,Tennessee,1,0,0.01,0,"6,829,174"
3/6/20,Texas,19,0,0.07,0,"28,995,881"
